Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.7430922986478542
Pengujian Ke- 2,3,0.3,0.2,0.7289829512051734
Pengujian Ke- 3,3,0.4,0.1,0.892416225749559
Pengujian Ke- 4,3,0.4,0.2,0.5549676660787772
Pengujian Ke- 5,4,0.3,0.1,0.8265726043503822
Pengujian Ke- 6,4,0.3,0.2,0.7095825984714874
Pengujian Ke- 7,4,0.4,0.1,0.7666078777189889
Pengujian Ke- 8,4,0.4,0.2,0.6807760141093474
Pengujian Ke- 9,5,0.3,0.1,0.702527924750147
Pengujian Ke- 10,5,0.3,0.2,0.5784832451499118
Pengujian Ke- 11,5,0.4,0.1,0.6513815402704292
Pengujian Ke- 12,5,0.4,0.2,0.7871840094062317
